Survived,Sex,Class
No,Male,3rd
Yes,Female,1st
Yes,Female,3rd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
No,Male,1st
No,Male,3rd
Yes,Female,3rd
Yes,Female,2nd
Yes,Female,3rd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
No,Female,3rd
Yes,Female,2nd
No,Male,3rd
Yes,Male,2nd
No,Female,3rd
Yes,Female,3rd
No,Male,2nd
Yes,Male,2nd
Yes,Female,3rd
Yes,Male,1st
No,Female,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,1st
Yes,Female,3rd
No,Male,3rd
No,Male,1st
Yes,Female,1st
Yes,Female,3rd
No,Male,2nd
No,Male,1st
No,Male,1st
Yes,Male,3rd
No,Male,3rd
No,Female,3rd
Yes,Female,3rd
No,Female,3rd
No,Female,2nd
No,Male,3rd
Yes,Female,2nd
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
No,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
Yes,Female,2nd
No,Male,1st
Yes,Male,1st
Yes,Female,2nd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Male,1st
No,Male,3rd
No,Male,1st
Yes,Male,3rd
Yes,Female,2nd
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,2nd
No,Female,3rd
No,Male,2nd
No,Male,3rd
Yes,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Male,2nd
Yes,Female,3rd
No,Male,3rd
Yes,Male,3rd
Yes,Female,3rd
No,Male,1st
Yes,Female,2nd
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,1st
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,1st
Yes,Male,1st
Yes,Female,2nd
No,Male,2nd
No,Female,3rd
No,Male,3rd
No,Male,1st
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,3rd
Yes,Male,3rd
No,Male,3rd
Yes,Female,3rd
No,Male,1st
No,Female,3rd
No,Male,3rd
No,Female,3rd
No,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,2nd
No,Male,1st
No,Female,3rd
No,Male,2nd
No,Male,3rd
No,Male,2nd
Yes,Female,2nd
No,Male,1st
Yes,Male,3rd
No,Male,3rd
Yes,Male,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Female,3rd
Yes,Female,2nd
No,Male,2nd
No,Male,2nd
Yes,Female,1st
No,Male,1st
No,Male,3rd
No,Male,1st
No,Female,3rd
Yes,Female,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,2nd
No,Male,2nd
Yes,Male,3rd
No,Female,3rd
No,Male,2nd
No,Male,2nd
No,Male,2nd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,1st
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Male,3rd
Yes,Female,1st
No,Female,3rd
No,Male,1st
No,Male,3rd
No,Male,1st
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,1st
No,Male,3rd
No,Male,3rd
No,Female,1st
No,Male,2nd
No,Male,3rd
No,Female,3rd
No,Male,2nd
No,Male,3rd
Yes,Male,2nd
Yes,Female,3rd
No,Male,1st
Yes,Female,3rd
Yes,Male,1st
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
No,Male,2nd
Yes,Female,3rd
Yes,Male,2nd
Yes,Female,1st
Yes,Female,1st
No,Male,3rd
No,Male,3rd
Yes,Female,3rd
No,Female,2nd
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Male,3rd
No,Female,3rd
No,Male,3rd
Yes,Male,3rd
Yes,Female,3rd
Yes,Male,1st
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
No,Male,2nd
No,Male,3rd
Yes,Female,1st
Yes,Female,3rd
No,Male,2nd
Yes,Female,1st
No,Male,2nd
Yes,Male,3rd
No,Male,2nd
No,Male,3rd
No,Male,3rd
Yes,Male,1st
No,Male,3rd
Yes,Male,2nd
No,Male,3rd
No,Male,2nd
No,Female,3rd
Yes,Female,1st
No,Male,3rd
No,Male,2nd
Yes,Female,3rd
No,Male,2nd
No,Female,3rd
No,Male,2nd
Yes,Female,2nd
No,Male,2nd
No,Male,2nd
No,Female,3rd
Yes,Female,3rd
No,Male,2nd
No,Male,3rd
No,Male,3rd
No,Male,1st
No,Female,3rd
Yes,Female,2nd
Yes,Male,1st
No,Male,2nd
No,Male,3rd
No,Female,3rd
No,Male,1st
No,Male,3rd
No,Female,3rd
Yes,Female,3rd
Yes,Female,1st
Yes,Female,1st
Yes,Female,1st
Yes,Female,2nd
No,Male,3rd
Yes,Male,3rd
No,Male,1st
No,Male,1st
No,Female,3rd
No,Male,2nd
No,Male,3rd
Yes,Male,3rd
Yes,Female,1st
Yes,Female,1st
No,Male,1st
Yes,Male,3rd
Yes,Female,2nd
No,Male,1st
Yes,Female,3rd
Yes,Female,1st
No,Female,3rd
No,Male,2nd
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Male,3rd
No,Male,1st
No,Male,3rd
Yes,Male,3rd
No,Male,3rd
Yes,Male,2nd
Yes,Female,3rd
Yes,Female,1st
Yes,Female,1st
No,Male,2nd
No,Female,3rd
No,Male,3rd
No,Male,1st
No,Male,3rd
No,Female,1st
Yes,Male,1st
Yes,Female,1st
Yes,Female,3rd
Yes,Male,3rd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
Yes,Male,1st
Yes,Female,1st
Yes,Female,1st
No,Male,2nd
Yes,Female,1st
Yes,Female,1st
Yes,Female,1st
No,Female,2nd
No,Male,3rd
No,Male,2nd
Yes,Female,3rd
Yes,Female,2nd
No,Male,2nd
Yes,Female,1st
Yes,Female,1st
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
Yes,Female,2nd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
Yes,Female,2nd
Yes,Female,3rd
Yes,Female,1st
Yes,Female,3rd
No,Male,1st
No,Male,1st
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Male,1st
Yes,Female,1st
Yes,Male,3rd
No,Male,1st
Yes,Male,2nd
Yes,Female,1st
No,Male,2nd
No,Male,2nd
No,Male,2nd
Yes,Female,2nd
Yes,Female,2nd
Yes,Female,3rd
Yes,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,1st
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Female,2nd
Yes,Female,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,2nd
No,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
Yes,Female,3rd
Yes,Female,3rd
Yes,Female,1st
Yes,Male,1st
No,Male,3rd
No,Male,3rd
No,Male,1st
No,Female,3rd
Yes,Female,1st
Yes,Female,3rd
No,Male,1st
No,Male,3rd
No,Male,3rd
Yes,Female,1st
Yes,Female,3rd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Male,2nd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
Yes,Female,2nd
Yes,Male,1st
Yes,Male,3rd
No,Male,3rd
Yes,Female,1st
Yes,Female,3rd
No,Male,3rd
No,Female,3rd
No,Male,2nd
No,Male,2nd
Yes,Female,2nd
Yes,Male,3rd
No,Male,3rd
No,Female,3rd
No,Male,3rd
No,Female,3rd
No,Male,2nd
No,Male,3rd
Yes,Male,2nd
No,Male,3rd
No,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Male,2nd
Yes,Male,3rd
No,Female,3rd
Yes,Female,2nd
Yes,Female,2nd
No,Male,2nd
No,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
Yes,Female,2nd
No,Male,3rd
Yes,Male,3rd
Yes,Male,1st
Yes,Female,3rd
Yes,Female,2nd
No,Male,3rd
No,Male,1st
Yes,Female,1st
No,Female,3rd
Yes,Female,2nd
No,Male,1st
No,Male,2nd
Yes,Female,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
Yes,Male,3rd
Yes,Male,1st
Yes,Female,2nd
Yes,Male,1st
Yes,Female,3rd
Yes,Male,1st
No,Male,2nd
No,Male,3rd
No,Male,1st
Yes,Male,1st
No,Male,3rd
Yes,Male,3rd
No,Male,1st
Yes,Female,1st
Yes,Female,2nd
No,Male,3rd
Yes,Male,1st
No,Male,3rd
No,Male,1st
No,Male,2nd
No,Male,3rd
No,Male,3rd
No,Male,2nd
No,Male,1st
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
Yes,Female,2nd
No,Female,3rd
No,Male,1st
No,Male,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,2nd
No,Male,3rd
Yes,Female,3rd
Yes,Male,1st
No,Female,3rd
Yes,Female,1st
No,Male,1st
No,Male,3rd
Yes,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,1st
No,Male,1st
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Female,1st
No,Male,3rd
No,Male,3rd
No,Female,3rd
No,Female,3rd
No,Female,3rd
Yes,Female,1st
No,Male,1st
Yes,Female,2nd
Yes,Male,1st
No,Male,3rd
Yes,Male,3rd
Yes,Male,3rd
No,Male,3rd
Yes,Male,1st
Yes,Female,1st
No,Male,3rd
No,Male,1st
Yes,Female,2nd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
No,Male,1st
No,Male,3rd
No,Male,2nd
Yes,Female,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,3rd
No,Female,3rd
Yes,Female,2nd
No,Male,1st
Yes,Female,1st
No,Male,3rd
Yes,Female,1st
Yes,Female,1st
No,Female,3rd
No,Female,3rd
Yes,Male,2nd
No,Male,1st
No,Male,1st
Yes,Female,2nd
Yes,Male,2nd
No,Male,3rd
Yes,Male,2nd
Yes,Male,1st
No,Male,2nd
No,Male,3rd
Yes,Male,3rd
Yes,Female,3rd
No,Male,1st
Yes,Female,1st
No,Male,1st
Yes,Female,1st
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,2nd
No,Male,3rd
No,Female,3rd
No,Male,3rd
No,Male,3rd
No,Female,3rd
No,Male,3rd
Yes,Male,3rd
Yes,Male,2nd
Yes,Female,1st
Yes,Male,1st
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
Yes,Female,1st
No,Female,3rd
Yes,Male,3rd
Yes,Female,2nd
Yes,Female,1st
No,Male,2nd
No,Male,1st
No,Male,3rd
Yes,Female,1st
No,Male,2nd
Yes,Male,1st
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Female,3rd
No,Male,2nd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
No,Male,3rd
Yes,Male,1st
Yes,Female,2nd
No,Male,3rd
No,Male,1st
No,Male,3rd
Yes,Male,1st
No,Male,3rd
No,Male,3rd
Yes,Male,1st
Yes,Female,2nd
Yes,Female,1st
No,Female,3rd
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
No,Female,3rd
Yes,Female,2nd
No,Male,2nd
No,Male,3rd
Yes,Male,1st
Yes,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,1st
No,Male,2nd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
Yes,Male,1st
No,Male,3rd
Yes,Male,1st
No,Male,1st
No,Female,3rd
Yes,Female,2nd
No,Male,3rd
No,Male,2nd
No,Female,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Female,3rd
Yes,Male,3rd
Yes,Female,3rd
Yes,Male,1st
No,Male,3rd
Yes,Male,1st
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
Yes,Female,3rd
No,Female,3rd
No,Male,2nd
No,Male,3rd
No,Female,3rd
No,Male,2nd
No,Male,1st
Yes,Male,1st
No,Male,3rd
No,Male,1st
No,Male,3rd
Yes,Male,3rd
No,Male,2nd
No,Male,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
Yes,Female,2nd
No,Male,1st
No,Male,2nd
Yes,Male,2nd
No,Male,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,3rd
No,Female,3rd
Yes,Male,1st
No,Female,3rd
Yes,Male,1st
No,Male,3rd
No,Male,3rd
No,Male,2nd
No,Male,2nd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
Yes,Male,1st
Yes,Female,3rd
Yes,Male,3rd
No,Male,3rd
No,Male,1st
No,Male,2nd
No,Male,3rd
Yes,Female,3rd
No,Male,1st
No,Male,3rd
Yes,Female,1st
Yes,Male,1st
No,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,2nd
Yes,Female,2nd
Yes,Male,1st
Yes,Female,1st
Yes,Male,3rd
Yes,Female,1st
No,Male,1st
Yes,Male,1st
No,Male,3rd
No,Male,2nd
No,Male,3rd
Yes,Female,1st
Yes,Female,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
No,Male,2nd
No,Male,2nd
Yes,Male,1st
No,Male,3rd
Yes,Female,2nd
Yes,Female,3rd
No,Male,2nd
No,Female,3rd
Yes,Female,1st
No,Male,3rd
No,Male,2nd
No,Male,2nd
No,Male,2nd
No,Male,3rd
No,Female,3rd
Yes,Male,1st
No,Male,3rd
No,Male,3rd
Yes,Male,1st
No,Male,1st
Yes,Female,1st
No,Male,3rd
Yes,Male,3rd
No,Male,1st
No,Male,3rd
Yes,Female,2nd
No,Male,1st
No,Male,3rd
Yes,Female,2nd
Yes,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,2nd
Yes,Male,2nd
No,Male,3rd
No,Male,2nd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
Yes,Male,3rd
Yes,Female,1st
No,Male,3rd
Yes,Female,1st
No,Male,1st
No,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Female,2nd
No,Male,3rd
Yes,Female,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
Yes,Female,1st
Yes,Female,3rd
Yes,Female,1st
No,Male,1st
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,3rd
No,Male,3rd
Yes,Male,3rd
No,Male,1st
No,Male,3rd
No,Male,2nd
No,Female,3rd
No,Male,1st
No,Male,3rd
No,Male,2nd
Yes,Female,1st
Yes,Female,3rd
No,Male,3rd
No,Female,3rd
No,Male,2nd
Yes,Female,2nd
Yes,Male,1st
Yes,Male,3rd
Yes,Male,3rd
No,Male,3rd
No,Male,1st
No,Female,3rd
No,Male,2nd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
No,Male,2nd
No,Female,3rd
No,Male,3rd
No,Male,1st
No,Female,3rd
No,Male,2nd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
Yes,Male,3rd
No,Male,1st
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Male,2nd
Yes,Male,3rd
Yes,Female,1st
Yes,Female,3rd
Yes,Male,2nd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
Yes,Male,3rd
Yes,Male,1st
No,Male,3rd
No,Male,2nd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
No,Male,2nd
Yes,Female,1st
No,Male,3rd
No,Male,3rd
No,Female,3rd
Yes,Female,1st
No,Female,2nd
Yes,Female,3rd
Yes,Female,1st
Yes,Male,1st
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,2nd
Yes,Female,1st
No,Female,3rd
No,Male,2nd
Yes,Female,2nd
Yes,Female,2nd
No,Male,1st
No,Male,3rd
Yes,Male,3rd
No,Male,3rd
Yes,Female,1st
No,Male,1st
No,Male,3rd
Yes,Female,2nd
Yes,Female,3rd
No,Male,3rd
No,Male,3rd
No,Male,3rd
Yes,Female,1st
Yes,Female,2nd
No,Male,3rd
No,Female,3rd
No,Male,2nd
No,Male,3rd
No,Female,3rd
No,Male,2nd
Yes,Female,1st
No,Female,3rd
Yes,Male,1st
No,Male,3rd
